model,layer,n_languages,n_concepts,dimension,family,perturbation,magnitude,preprocessing,metric,value,reference_value,expected_value,analytic_expectation,absolute_error,relative_error,tolerance,analytic_status
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.5,standardized,linear_cka,0.6149616663587253,0.6149616663587253,0.6149616663587253,uniform-scale invariant after coordinate standardization,0.0,0.0,6.159616663587252e-07,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.5,standardized,cvp_within_raw,917.986673730161,917.986673730161,917.986673730161,uniform-scale invariant after coordinate standardization,0.0,0.0,0.000917987673730161,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.5,standardized,cpres_shared_raw,300.25816957490514,300.25816957490514,300.25816957490514,uniform-scale invariant after coordinate standardization,0.0,0.0,0.00030025916957490516,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.5,standardized,mean_norm,44.77553844043394,44.77553844043394,44.77553844043394,uniform-scale invariant after coordinate standardization,0.0,0.0,4.477653844043394e-05,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.5,standardized,concept_rank_covariance_entropy,103.42479712330974,103.42479712330974,103.42479712330974,uniform-scale invariant after coordinate standardization,0.0,0.0,0.00010342579712330975,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.5,standardized,concept_rank_singular_entropy,238.10886316002015,238.10886316002015,238.10886316002015,uniform-scale invariant after coordinate standardization,0.0,0.0,0.00023810986316002012,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.5,standardized,concept_participation_ratio,42.69521387433855,42.69521387433855,42.69521387433855,uniform-scale invariant after coordinate standardization,0.0,0.0,4.269621387433855e-05,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.1,raw,lfs_direct,0.45963898136963355,0.4596389813696337,0.4596389813696337,uniform-scale invariant,1.6653345369377348e-16,3.6231359924594853e-16,4.6063898136963373e-07,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.1,raw,ss_language,21314.76008653491,2131476.0086534917,21314.76008653492,quadratic in uniform scale,1.0913936421275139e-11,5.120365594999004e-16,0.02131476108653492,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.1,raw,ss_concept,25058.069352389364,2505806.935238936,25058.06935238936,quadratic in uniform scale,3.637978807091713e-12,1.4518192746341095e-16,0.02505807035238936,PASS
